"arrival_date_year","arrival_date_month","hotel","country","tourist_type","completed_bookings","canceled_bookings"
2015,"August","City Hotel","AGO","Couple",6,0
2015,"August","City Hotel","AGO","Family",1,0
2015,"August","City Hotel","AGO","Single",7,0
2015,"August","City Hotel","AUS","Couple",2,0
2015,"August","City Hotel","AUS","Single",1,0
2015,"August","City Hotel","AUT","Couple",5,0
2015,"August","City Hotel","BEL","Couple",17,0
2015,"August","City Hotel","BEL","Single",1,0
2015,"August","City Hotel","BGR","Couple",1,0
2015,"August","City Hotel","BGR","Single",1,0
2015,"August","City Hotel","BRA","Couple",4,0
2015,"August","City Hotel","BRA","Single",1,0
2015,"August","City Hotel","CN","Couple",1,0
2015,"August","City Hotel","COL","Others",1,0
2015,"August","City Hotel","CHE","Couple",4,0
2015,"August","City Hotel","CHE","Family",1,0
2015,"August","City Hotel","CHE","Single",2,0
2015,"August","City Hotel","CHN","Couple",3,0
2015,"August","City Hotel","CHN","Single",1,0
2015,"August","City Hotel","DEU","Couple",54,0
2015,"August","City Hotel","DEU","Others",2,0
2015,"August","City Hotel","DEU","Single",11,0
2015,"August","City Hotel","DNK","Family",1,0
2015,"August","City Hotel","DZA","Couple",2,0
2015,"August","City Hotel","ESP","Couple",228,40
2015,"August","City Hotel","ESP","Family",20,0
2015,"August","City Hotel","ESP","Others",17,0
2015,"August","City Hotel","ESP","Single",23,0
2015,"August","City Hotel","FIN","Couple",1,0
2015,"August","City Hotel","FRA","Couple",108,1
2015,"August","City Hotel","FRA","Family",15,0
2015,"August","City Hotel","FRA","Single",14,0
2015,"August","City Hotel","GBR","Couple",7,0
2015,"August","City Hotel","GBR","Family",2,0
2015,"August","City Hotel","GBR","Single",2,0
2015,"August","City Hotel","GRC","Single",1,0
2015,"August","City Hotel","HRV","Couple",1,0
2015,"August","City Hotel","IRL","Couple",1,0
2015,"August","City Hotel","IRL","Family",1,0
2015,"August","City Hotel","IRL","Single",1,0
2015,"August","City Hotel","ISR","Couple",13,0
2015,"August","City Hotel","ISR","Single",12,0
2015,"August","City Hotel","ITA","Couple",92,63
2015,"August","City Hotel","ITA","Family",4,1
2015,"August","City Hotel","ITA","Others",8,1
2015,"August","City Hotel","ITA","Single",17,2
2015,"August","City Hotel","LUX","Family",1,0
2015,"August","City Hotel","LVA","Family",1,0
2015,"August","City Hotel","MAR","Couple",2,0
2015,"August","City Hotel","MAR","Family",2,0
2015,"August","City Hotel","MAR","Single",2,0
2015,"August","City Hotel","MEX","Couple",1,0
2015,"August","City Hotel","MEX","Single",2,0
2015,"August","City Hotel","MOZ","Couple",2,1
2015,"August","City Hotel","NLD","Couple",10,0
2015,"August","City Hotel","NLD","Family",1,0
2015,"August","City Hotel","NLD","Single",1,0
2015,"August","City Hotel","NOR","Couple",4,0
2015,"August","City Hotel","POL","Couple",7,0
2015,"August","City Hotel","POL","Family",1,0
2015,"August","City Hotel","POL","Others",1,0
2015,"August","City Hotel","POL","Single",2,0
2015,"August","City Hotel","PRT","Couple",262,1050
2015,"August","City Hotel","PRT","Family",45,11
2015,"August","City Hotel","PRT","Others",5,2
2015,"August","City Hotel","PRT","Single",61,52
2015,"August","City Hotel","ROU","Couple",2,0
2015,"August","City Hotel","RUS","Couple",26,0
2015,"August","City Hotel","RUS","Family",1,0
2015,"August","City Hotel","RUS","Others",1,0
2015,"August","City Hotel","RUS","Single",4,4
2015,"August","City Hotel","STP","Couple",1,0
2015,"August","City Hotel","SWE","Couple",3,0
2015,"August","City Hotel","TUN","Couple",2,0
2015,"August","City Hotel","UKR","Single",1,0
2015,"August","City Hotel","USA","Couple",3,0
2015,"August","City Hotel","USA","Single",1,0
2015,"August","City Hotel","VEN","Family",1,0
2015,"August","Resort Hotel","ARG","Couple",2,0
2015,"August","Resort Hotel","AUS","Couple",1,0
2015,"August","Resort Hotel","AUT","Couple",1,0
2015,"August","Resort Hotel","BEL","Couple",4,0
2015,"August","Resort Hotel","BEL","Family",1,0
2015,"August","Resort Hotel","BEL","Single",1,0
2015,"August","Resort Hotel","BRA","Couple",4,0
2015,"August","Resort Hotel","BRA","Family",1,0
2015,"August","Resort Hotel","BRA","Others",3,0
2015,"August","Resort Hotel","BRA","Single",1,0
2015,"August","Resort Hotel","CN","Couple",4,0
2015,"August","Resort Hotel","CN","Family",3,0
2015,"August","Resort Hotel","CHE","Couple",10,0
2015,"August","Resort Hotel","CHE","Family",1,0
2015,"August","Resort Hotel","CHE","Others",1,0
